stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
910GCFPK-1001076-RPL-N-2,,RPL-N,,51.45512,-0.03674,3,910GCFPK,L#0,
910GCFPK-1001076-RPL-S-3,,RPL-S,,51.45521,-0.03665,3,910GCFPK,L#0,
910GCFPK-Plat01-NB-thameslink,,Northbound Platform 1,,,,0,910GCFPK,,1
910GCFPK-Plat02-SB-thameslink,,Southbound Platform 2,,,,0,910GCFPK,,2
910GCHDWLHT,910GCHDWLHT,Chadwell Heath,,,,1,,,
910GCHDWLHT-Outside,,Outside Chadwell Heath,,,,3,910GCHDWLHT,,
910GCHDWLHT-1001055-Bus-1,,Bus,,51.56826,0.12985,3,910GCHDWLHT,L#0,
910GCHDWLHT-1001055-EntS-3,,EntS,,51.56807,0.1297,3,910GCHDWLHT,L#0,
910GCHDWLHT-1001055-FBdg-6,,FBdg,,51.5682,0.12992,3,910GCHDWLHT,L#0,
910GCHDWLHT-1001055-RLY-4,,RLY,,51.56797,0.12946,3,910GCHDWLHT,L#0,
910GCHDWLHT-1001055-RPL1-2,,RPL1,,51.56799,0.12943,3,910GCHDWLHT,L#-1,
910GCHDWLHT-1001055-RPL2-5,,RPL2,,51.56809,0.12939,3,910GCHDWLHT,L#-1,
910GCHDWLHT-1001055-RPL3-7,,RPL3,,51.56811,0.13006,3,910GCHDWLHT,L#-1,
910GCHDWLHT-Plat01-WB-elizabeth,,Westbound Platform 1,,,,0,910GCHDWLHT,,1
910GCHDWLHT-Plat02-EB-elizabeth,,Eastbound Platform 2,,,,0,910GCHDWLHT,,2
910GCHDWLHT-Plat03-WB-elizabeth,,Westbound Platform 3,,,,0,910GCHDWLHT,,3
910GCHDWLHT-Plat04-EB-elizabeth,,Eastbound Platform 4,,,,0,910GCHDWLHT,,4
910GCHESHNT,910GCHESHNT,Cheshunt,,,,1,,,
910GCHESHNT-Outside,,Outside Cheshunt,,,,3,910GCHESHNT,,
910GCHESHNT-1001532-BRDGE-7,,BRDGE,,51.70286,-0.02379,3,910GCHESHNT,L#1,
910GCHESHNT-1001532-Bus-3,,Bus,,51.70286,-0.02176,3,910GCHESHNT,L#0,
910GCHESHNT-1001532-EntrM-2,,EntrM,,51.70292,-0.02425,3,910GCHESHNT,L#0,
910GCHESHNT-1001532-EntrW-6,,EntrW,,51.70315,-0.02361,3,910GCHESHNT,L#0,
910GCHESHNT-1001532-RLY-5,,RLY,,51.70287,-0.02396,3,910GCHESHNT,L#0,
910GCHESHNT-1001532-RPL-N-1,,RPL-N,,51.7025,-0.02409,3,910GCHESHNT,L#0,
